,grammar,seed,gamma,living_metric
0,organic,0,1,0.012106537530266344
1,organic,0,2,0.03450363196125908
2,organic,0,3,0.05811138014527845
3,organic,0,4,0.07929782082324455
4,organic,0,5,0.09564164648910412
5,organic,0,6,0.11138014527845036
6,organic,0,7,0.12530266343825666
7,organic,0,8,0.14225181598062955
8,organic,0,9,0.1579903147699758
9,organic,0,10,0.17070217917675545
10,organic,0,11,0.1834140435835351
11,organic,0,12,0.19430992736077482
12,organic,0,13,0.20641646489104115
13,organic,0,14,0.22276029055690072
14,organic,0,15,0.23668280871670702
15,organic,0,16,0.2457627118644068
16,organic,0,17,0.2572639225181598
17,organic,0,18,0.2651331719128329
18,organic,0,19,0.2736077481840194
19,organic,0,20,0.2851089588377724
20,organic,0,21,0.2966101694915254
21,organic,0,22,0.3062953995157385
22,organic,0,23,0.3141646489104116
23,organic,0,24,0.32263922518159804
24,organic,0,25,0.33171912832929784
25,organic,0,26,0.34019370460048426
26,organic,0,27,0.3486682808716707
27,organic,0,28,0.35714285714285715
28,organic,0,29,0.3668280871670702
29,line,0,1,0.005259697567389875
30,line,0,2,0.015779092702169626
31,line,0,3,0.02564102564102564
32,line,0,4,0.03418803418803419
33,line,0,5,0.042077580539119
34,line,0,6,0.04930966469428008
35,line,0,7,0.055226824457593686
36,line,0,8,0.0611439842209073
37,line,0,9,0.06837606837606838
38,line,0,10,0.07560815253122946
39,line,0,11,0.084155161078238
40,line,0,12,0.09072978303747535
41,line,0,13,0.09796186719263643
42,line,0,14,0.10585141354372124
43,line,0,15,0.11308349769888232
44,line,0,16,0.12097304404996713
45,line,0,17,0.1301775147928994
46,line,0,18,0.13740959894806049
47,line,0,19,0.14398422090729784
48,line,0,20,0.1531886916502301
49,line,0,21,0.15976331360946747
50,line,0,22,0.16896778435239973
51,line,0,23,0.18080210387902695
52,line,0,24,0.18869165023011178
53,line,0,25,0.19592373438527286
54,line,0,26,0.2044707429322814
55,line,0,27,0.21170282708744248
56,line,0,28,0.2176199868507561
57,line,0,29,0.22287968441814596
58,hex,0,1,0.007698229407236336
59,hex,0,2,0.022324865280985373
60,hex,0,3,0.03926096997690531
61,hex,0,4,0.059276366435719784
62,hex,0,5,0.0731331793687452
63,hex,0,6,0.08314087759815242
64,hex,0,7,0.0939183987682833
65,hex,0,8,0.100846805234796
66,hex,0,9,0.10469591993841416
67,hex,0,10,0.1147036181678214
68,hex,0,11,0.12779060816012316
69,hex,0,12,0.13933795227097767
70,hex,0,13,0.14857582755966128
71,hex,0,14,0.1578137028483449
72,hex,0,15,0.16782140107775212
73,hex,0,16,0.17936874518860663
74,hex,0,17,0.18937644341801385
75,hex,0,18,0.19861431870669746
76,hex,0,19,0.20939183987682833
77,hex,0,20,0.21939953810623555
78,hex,0,21,0.22786759045419552
79,hex,0,22,0.24018475750577367
80,hex,0,23,0.25327174749807546
81,hex,0,24,0.2602001539645881
82,hex,0,25,0.2686682063125481
83,hex,0,26,0.2779060816012317
84,hex,0,27,0.2848344880677444
85,hex,0,28,0.29715165511932257
86,hex,0,29,0.3125481139337952
87,grid,0,1,0.0045691906005221935
88,grid,0,2,0.012402088772845953
89,grid,0,3,0.018276762402088774
90,grid,0,4,0.022845953002610966
91,grid,0,5,0.03198433420365535
92,grid,0,6,0.04046997389033943
93,grid,0,7,0.047650130548302874
94,grid,0,8,0.05613577023498695
95,grid,0,9,0.06462140992167102
96,grid,0,10,0.07245430809399478
97,grid,0,11,0.07767624020887728
98,grid,0,12,0.08420365535248042
99,grid,0,13,0.09203655352480418
100,grid,0,14,0.097911227154047
101,grid,0,15,0.10378590078328982
102,grid,0,16,0.11096605744125326
103,grid,0,17,0.1181462140992167
104,grid,0,18,0.12663185378590078
105,grid,0,19,0.1325065274151436
106,grid,0,20,0.141644908616188
107,grid,0,21,0.152088772845953
108,grid,0,22,0.15992167101827676
109,grid,0,23,0.1664490861618799
110,grid,0,24,0.17493472584856398
111,grid,0,25,0.18276762402088773
112,grid,0,26,0.18929503916449086
113,grid,0,27,0.19386422976501305
114,grid,0,28,0.20234986945169714
115,grid,0,29,0.21409921671018275
116,organic,1,1,0.01548165137614679
117,organic,1,2,0.04243119266055046
118,organic,1,3,0.06651376146788991
119,organic,1,4,0.08887614678899082
120,organic,1,5,0.1095183486238532
121,organic,1,6,0.12442660550458716
122,organic,1,7,0.13589449541284404
123,organic,1,8,0.14678899082568808
124,organic,1,9,0.15940366972477063
125,organic,1,10,0.17373853211009174
126,organic,1,11,0.18463302752293578
127,organic,1,12,0.1915137614678899
128,organic,1,13,0.20126146788990826
129,organic,1,14,0.21272935779816513
130,organic,1,15,0.22190366972477063
131,organic,1,16,0.23337155963302753
132,organic,1,17,0.2459862385321101
133,organic,1,18,0.25344036697247707
134,organic,1,19,0.2631880733944954
135,organic,1,20,0.2763761467889908
136,organic,1,21,0.2889908256880734
137,organic,1,22,0.2981651376146789
138,organic,1,23,0.30561926605504586
139,organic,1,24,0.3125
140,organic,1,25,0.3205275229357798
141,organic,1,26,0.3268348623853211
142,organic,1,27,0.3331422018348624
143,organic,1,28,0.3400229357798165
144,organic,1,29,0.34575688073394495
145,line,1,1,0.007352941176470588
146,line,1,2,0.019385026737967916
147,line,1,3,0.02807486631016043
148,line,1,4,0.032754010695187165
149,line,1,5,0.03676470588235294
150,line,1,6,0.04144385026737968
151,line,1,7,0.046122994652406414
152,line,1,8,0.053475935828877004
153,line,1,9,0.06149732620320856
154,line,1,10,0.06684491978609626
155,line,1,11,0.07152406417112299
156,line,1,12,0.08155080213903744
157,line,1,13,0.09224598930481283
158,line,1,14,0.09759358288770054
159,line,1,15,0.10494652406417113
160,line,1,16,0.11296791443850267
161,line,1,17,0.1196524064171123
162,line,1,18,0.1270053475935829
163,line,1,19,0.13435828877005349
164,line,1,20,0.142379679144385
165,line,1,21,0.1497326203208556
166,line,1,22,0.15508021390374332
167,line,1,23,0.16243315508021391
168,line,1,24,0.1697860962566845
169,line,1,25,0.17446524064171123
170,line,1,26,0.1804812834224599
171,line,1,27,0.18516042780748662
172,line,1,28,0.19385026737967914
173,line,1,29,0.2052139037433155
174,hex,1,1,0.00834597875569044
175,hex,1,2,0.03110773899848255
176,hex,1,3,0.05386949924127466
177,hex,1,4,0.06676783004552352
178,hex,1,5,0.08118361153262518
179,hex,1,6,0.09559939301972686
180,hex,1,7,0.10773899848254932
181,hex,1,8,0.12063732928679818
182,hex,1,9,0.13277693474962063
183,hex,1,10,0.1418816388467375
184,hex,1,11,0.14871016691957512
185,hex,1,12,0.15705614567526555
186,hex,1,13,0.16843702579666162
187,hex,1,14,0.17830045523520485
188,hex,1,15,0.18437025796661607
189,hex,1,16,0.19271623672230653
190,hex,1,17,0.20257966616084977
191,hex,1,18,0.2078907435508346
192,hex,1,19,0.21471927162367224
193,hex,1,20,0.22458270106221548
194,hex,1,21,0.2336874051593323
195,hex,1,22,0.24127465857359637
196,hex,1,23,0.251896813353566
197,hex,1,24,0.2701062215477997
198,hex,1,25,0.2860394537177542
199,hex,1,26,0.2966616084977238
200,hex,1,27,0.30424886191198786
201,hex,1,28,0.3103186646433991
202,hex,1,29,0.3156297420333839
203,grid,1,1,0.0033156498673740055
204,grid,1,2,0.009283819628647215
205,grid,1,3,0.016578249336870028
206,grid,1,4,0.02453580901856764
207,grid,1,5,0.03183023872679045
208,grid,1,6,0.04111405835543767
209,grid,1,7,0.05106100795755968
210,grid,1,8,0.058355437665782495
211,grid,1,9,0.0649867374005305
212,grid,1,10,0.07228116710875332
213,grid,1,11,0.08355437665782493
214,grid,1,12,0.09748010610079576
215,grid,1,13,0.10809018567639257
216,grid,1,14,0.11472148541114058
217,grid,1,15,0.1246684350132626
218,grid,1,16,0.13527851458885942
219,grid,1,17,0.14389920424403183
220,grid,1,18,0.15053050397877984
221,grid,1,19,0.16047745358090185
222,grid,1,20,0.17175066312997347
223,grid,1,21,0.18037135278514588
224,grid,1,22,0.1909814323607427
225,grid,1,23,0.20225464190981432
226,grid,1,24,0.20954907161803712
227,grid,1,25,0.21618037135278514
228,grid,1,26,0.22148541114058357
229,grid,1,27,0.22612732095490717
230,grid,1,28,0.23143236074270557
231,grid,1,29,0.23607427055702918
232,organic,2,1,0.01023308698123934
233,organic,2,2,0.028993746446844798
234,organic,2,3,0.04548038658328596
235,organic,2,4,0.06424104604889141
236,organic,2,5,0.0869812393405344
237,organic,2,6,0.10801591813530415
238,organic,2,7,0.12279704377487209
239,organic,2,8,0.1358726549175668
240,organic,2,9,0.144968732234224
241,organic,2,10,0.15406480955088117
242,organic,2,11,0.16600341102899374
243,organic,2,12,0.17851051733939738
244,organic,2,13,0.18988061398521888
245,organic,2,14,0.2029562251279136
246,organic,2,15,0.21546333143831722
247,organic,2,16,0.22342239909039227
248,organic,2,17,0.23251847640704945
