grammar,seed,living_metric_v1,living_metric_v2_lambda_0.1,living_metric_v2_lambda_1.1473684210526316,living_metric_v2_lambda_2.194736842105263,living_metric_v2_lambda_3.2421052631578946,living_metric_v2_lambda_4.289473684210526,living_metric_v2_lambda_5.336842105263157,living_metric_v2_lambda_6.384210526315789,living_metric_v2_lambda_7.43157894736842,living_metric_v2_lambda_8.478947368421052,living_metric_v2_lambda_9.526315789473683,living_metric_v2_lambda_10.573684210526315,living_metric_v2_lambda_11.621052631578946,living_metric_v2_lambda_12.668421052631578,living_metric_v2_lambda_13.71578947368421,living_metric_v2_lambda_14.76315789473684,living_metric_v2_lambda_15.810526315789472,living_metric_v2_lambda_16.857894736842105,living_metric_v2_lambda_17.905263157894737,living_metric_v2_lambda_18.95263157894737,living_metric_v2_lambda_20.0
organic,0,0.09564164648910412,0.9756677675161782,0.7763724952121636,0.6455344779848017,0.5543577757526015,0.48754085328537894,0.43652694194908676,0.39627792404694173,0.36367655535442356,0.3367037978212172,0.3139974684169927,0.29460530700771703,0.2778409834189889,0.26319675230694123,0.25028849672971004,0.238819984056264,0.22855891815131302,0.21932046752998338,0.21095566929317341,0.20334309589370214,0.1963827561460604
line,0,0.042077580539119,0.9683987435015083,0.7149613502198863,0.5562442568481495,0.4512109602020068,0.37812366419100235,0.32497755528220335,0.28485347380201803,0.25359086944648496,0.22858407797292576,0.2081380112565402,0.19111098303578192,0.17670965443283412,0.16436722280485158,0.1536686628567338,0.144303420143457,0.13603461661631025,0.12867847772244717,0.12209025927931608,0.11615441150894185,0.11077756915153272
hex,0,0.0731331793687452,0.9688168306112377,0.7169120217438858,0.5573024005417323,0.45088103286780923,0.37655290740932024,0.32246917796805236,0.28169920885217553,0.2500255871242194,0.2247833853131764,0.20422838032623297,0.18718148943805984,0.17282198019313086,0.16056332988118513,0.14997641796925812,0.1407406363254419,0.1326119363994753,0.1254014293049696,0.11896072777225943,0.11317169699652198,0.10793915190195794
grid,0,0.03198433420365535,0.966598122159719,0.7014498633252518,0.5385095713668111,0.43241884587019447,0.35956814307287494,0.30714375149276807,0.26788190793072414,0.23748073224736038,0.21328171126225048,0.19357466077521215,0.17721815627934462,0.16342469591461198,0.15163473295768082,0.14144025811744812,0.13253692479504375,0.12469314493984152,0.11772958375757372,0.11150520924513677,0.1059075834306475,0.10084596563040302
organic,1,0.1095183486238532,0.9759813473674274,0.7785777234102078,0.6484968895699191,0.5578010003170796,0.49140584684409255,0.4407832668778716,0.4008830862200826,0.3685769639644869,0.3418430731221206,0.3193229044912391,0.3000712416723569,0.28340985778019134,0.26883882953382077,0.25598094878494726,0.24454577430268246,0.23430570551242338,0.2250796334233246,0.2167214994742598,0.20911211470241012,0.20215319566655385
line,1,0.03676470588235294,0.9682220568824337,0.7130636275168707,0.5530554087085466,0.44717188244319783,0.37357430211667486,0.32015396853464456,0.2799108971040264,0.24862752949279088,0.2236597842492869,0.20328735001545134,0.18635230342657272,0.17205106626063965,0.15981055149578496,0.149212030694956,0.1399429105779064,0.13176532936585925,0.12449518115265838,0.11798777847835058,0.11212784481409108,0.10682239514817554
hex,1,0.08118361153262518,0.9685705927960435,0.7163441870456985,0.5583058290846301,0.45376828338872865,0.3810952584925244,0.3283049310990224,0.28848151084046697,0.25746600022248806,0.23265626758898092,0.21236248509386532,0.1954489825747426,0.18112842024907844,0.16883953327672177,0.15817217913591725,0.14881998919182052,0.140549611081954,0.13318020656869015,0.1265694585333587,0.12060381244624546,0.115191536161023
grid,1,0.03183023872679045,0.9660208530003351,0.6976117282791953,0.5342037184494662,0.42867140436912354,0.35667104363721924,0.3051020312769003,0.2666026693689179,0.2368495527981373,0.21319097371159337,0.19393201713780195,0.1779472772100387,0.164463402920243,0.15293255218925542,0.14295613685153372,0.1342373216607794,0.12655050361565115,0.1197211349933072,0.11361203467911024,0.10811388185816773,0.10313847412523955
organic,2,0.0869812393405344,0.9762847515582374,0.7815509407601776,0.6532205031811311,0.5635846073941925,0.4978084444805154,0.4475429079072455,0.40784908349044846,0.37566265359657924,0.3489967935977562,0.3265114028704568,0.3072706823629116,0.2906011955687796,0.27600557005745135,0.2631081549259889,0.2516196859078703,0.24131363518515672,0.23200996667319504,0.22356371744355336,0.2158568048884081,0.20879203969664356
line,2,0.043424317617866005,0.9698545057985329,0.726279966917178,0.5715216871347465,0.4677615008909015,0.3947690623381459,0.3412438469683039,0.30059054069332275,0.26879143164714386,0.24329791039762363,0.22243203945918086,0.2050515645398458,0.19035552807855682,0.17776747927560874,0.16686296125223402,0.15732309710384118,0.14890404362727763,0.14141637620309358,0.13471085802257612,0.12866841524139253,0.12319294520265636
hex,2,0.06816479400749063,0.9683028403408298,0.7140083610638848,0.5547402563960964,0.4494201318835997,0.37623282160638716,0.3231042249431735,0.2830639312313407,0.2519168063037605,0.2270352087981058,0.20671082371727165,0.18979453906608484,0.17548932333562067,0.16322702251590154,0.15259268379127938,0.1432766515418764,0.135043387534792,0.12771065256283104,0.12113528001987652,0.11520324732450041,0.10982261327254259
grid,2,0.03713188220230474,0.9666102395405632,0.7019344665004333,0.5395610534868502,0.43386704828870104,0.3612339957840978,0.3088969671853344,0.2696404624577623,0.23919783425748384,0.2149334870969199,0.19515124125434533,0.17871785517748084,0.1648504004060055,0.15299173370591435,0.1427349728039807,0.13377616136497253,0.12588368549385914,0.11887795678740841,0.11261757152486554,0.10698966522894333,0.10190305215173763
organic,3,0.12560386473429952,0.9764374598260749,0.7825682734826996,0.6546773764034548,0.565505829756807,0.5002460389243624,0.4504916662664827,0.41125502914550804,0.37944697609007727,0.3530748134015769,0.3308038534670668,0.3117090880958602,0.29512955901649307,0.2805800350251156,0.2676957071268599,0.2561965067602435,0.2458634373773707,0.23652246969356927,0.228033325572039,0.2202814994216895,0.21317247233623804
line,3,0.04892966360856269,0.9693785197442191,0.7230186726839822,0.5677003445334421,0.4641965142276409,0.39168036890075736,0.33861904824760874,0.29834242692633683,0.26682212457939347,0.24152195007992988,0.22078221497914047,0.20347807992740977,0.1888230577478269,0.1762519560935585,0.16534875468722227,0.15580074333879093,0.14736849956941836,0.13986571011376825,0.13314528282006755,0.12708958235607284,0.12160343305104136
hex,3,0.08212927756653993,0.9681441349309488,0.7121208338410234,0.5513819157859848,0.4450407046822321,0.37126095258662867,0.3178827953644889,0.2778441354166602,0.24687207090339774,0.22227908330058832,0.2023130980996006,0.18579406231700543,0.17190359853823506,0.16005914884137284,0.14983627481150422,0.14091927070751328,0.13306892183537303,0.12610093627605867,0.11987119338555022,0.11426544968292116,0.10919202285072971
grid,3,0.04963600264725347,0.9661997541322813,0.6990624372245692,0.5360923899590744,0.4305852478268357,0.3584792254227704,0.3068098593148225,0.268261832757836,0.23851455099639549,0.2149027348448953,0.19571486877581784,0.17981134430956316,0.16640849879642305,0.1549518721799763,0.14503918751536563,0.13637202019004407,0.12872457107679677,0.12192295216476531,0.11583111618034087,0.11034109306114097,0.10536608308069605
organic,4,0.09848058525604952,0.9760083739138835,0.7780240838097636,0.6466326287240263,0.5545467466921764,0.4869340053180419,0.4353373006881917,0.3947004498863895,0.36186072846395134,0.3347556227209369,0.31198886098448436,0.2925835479344226,0.2758362896146053,0.26122782875662554,0.24836643702756356,0.23695094702473563,0.22674593761977904,0.21756466222639795,0.20925704273208856,0.2017010580568051,0.19479645732685036
line,4,0.033854166666666664,0.968407545807679,0.7145214821170279,0.5549754652158816,0.44914383474038755,0.375414298530635,0.3218005250310694,0.2813649573974681,0.24991888617733124,0.22482878067940879,0.20437530277535906,0.1873968413051523,0.17308419637421205,0.1608581962900679,0.150294317908615,0.1410748098264806,0.13295740989424,0.12575437030610437,0.11931806102812342,0.11353087772091097,0.10829803139030415
hex,4,0.06846153846153846,0.9682329547014636,0.7133742973557475,0.5536693584504178,0.4479686965059402,0.3744596264167647,0.32107637647248805,0.28085051069766637,0.24958331586402227,0.2246405368409698,0.20430607833210693,0.18742296209912168,0.1731867538937416,0.1610226041947609,0.15050965111481832,0.14133311048212358,0.1332530479762549,0.12608349374459027,0.11967814256005589,0.11392035226592453,0.10871601222337063
grid,4,0.04055851063829787,0.965688476755463,0.6950159817969394,0.5306889544591112,0.4248849714906259,0.3529353374573196,0.30157707728046185,0.26336197386747956,0.23391853388765368,0.21056808344472366,0.1916010820214469,0.17588494087179157,0.16264362767884205,0.15132927705994037,0.14154476250684994,0.13299545337678656,0.12545823509340037,0.11876105881911832,0.11276909995095363,0.10737517556573278,0.1024929735331919
organic,5,0.08435960591133004,0.9756470772123745,0.7757117954597476,0.644149643032543,0.5524942947215262,0.485437888433152,0.43434570244979137,0.39410890242266144,0.3615623042603768,0.3346587119340022,0.31202121046606396,0.2926908775600015,0.2759791577116974,0.26137830446931404,0.2485051738442205,0.2370648215189745,0.2268262366190922,0.21760573632837021,0.20925533052060183,0.20165439311621008,0.1947035849886616
line,5,0.0410958904109589,0.9685832796421283,0.7159414199544479,0.5570301708402755,0.45155639563652195,0.3780336173545764,0.32452901336106804,0.2841330096675674,0.25267507792287136,0.22753520715398648,0.20700464550983408,0.18993014044411008,0.1755090427502774,0.16316725526340015,0.15248413793797633,0.1431448731160104,0.13490938328706112,0.12759151802349133,0.12104478625373148,0.11515236593822055,0.10981997384179192
hex,5,0.0681992337164751,0.9682830609517489,0.7137410521396516,0.5541249109328865,0.4484238840681741,0.3748963000179058,0.3215071944114351,0.28129674127854676,0.2500641203093943,0.22516895121112052,0.20488848589249592,0.1880601107813192,0.173875252729972,0.1617563796696647,0.15128115432395745,0.14213422584860516,0.13407572722401725,0.12692016527891592,0.12052195010642369,0.11476527057375135,0.10955687849344739
grid,5,0.02679738562091503,0.9660458675647309,0.6974457611960075,0.5333299514836118,0.42692434952815367,0.35407968803578993,0.30177537885196415,0.262667204542777,0.23242130073063055,0.2083662748758079,0.18878701653664087,0.17254076206005814,0.1588404276446372,0.14712778472010743,0.13699658523564545,0.12814441687662276,0.12034163144423125,0.11341073641161804,0.1072123846898855,0.10163563594019151,0.09659105014768928
organic,6,0.07958251793868232,0.9750044551685381,0.7709874618627662,0.6383856492819326,0.5471000947332176,0.4809648085327405,0.4309143675424602,0.39163846781334943,0.359890197744967,0.3336011260037352,0.3114020302666711,0.2923540682907305,0.2757926879688906,0.2612339148538412,0.24831626840309076,0.2367636663546988,0.2263610628797072,0.21693803083985364,0.2083574311746117,0.2005074201157923,0.1932956964762388
